product,common_quantity
050011331           ,21.0
050011347           ,4.0
050011348           ,6.0
050011353           ,1.0
050011354           ,3.0
050011439           ,28.0
050011440           ,25.0
050011446           ,2.0
050011447           ,1.0
050011455           ,1.0
050011554           ,1.0
050011564           ,13.0
050011611           ,3.0
050011617           ,1.0
050011618           ,1.0
050011619           ,1.0
050011623           ,9.0
050011626           ,1.0
050011627           ,1.0
050011629           ,2.0
050011631           ,15.0
050011634           ,6.0
050011635           ,5.0
050011637           ,1.0
050011638           ,1.0
050011639           ,2.0
050011640           ,3.0
050011642           ,1.0
050011646           ,6.0
050011647           ,21.0
050011648           ,12.0
050011649           ,6.0
050011650           ,1.0
050011651           ,9.0
050011652           ,15.0
050011653           ,7.0
050011655           ,11.0
050011656           ,9.0
050011659           ,8.0
050011660           ,6.0
050011661           ,4.0
050011663           ,2.0
050011664           ,2.0
050011666           ,2.0
050011667           ,2.0
050011671           ,1.0
050011682           ,13.0
050011685           ,21.0
050011686           ,1.0
050011688           ,11.0
050011689           ,20.0
050011691           ,1.0
050011693           ,1.0
050011694           ,2.0
050011695           ,6.0
050011698           ,1.0
050011702           ,5.0
050011703           ,24.0
050011704           ,24.0
050011705           ,4.0
050011707           ,21.0
050011708           ,1.0
050011709           ,21.0
050011711           ,1.0
050011712           ,3.0
050011715           ,3.0
050011717           ,1.0
050011718           ,6.0
050011722           ,11.0
050011723           ,1.0
050011733           ,4.0
050011752           ,1.0
050011756           ,1.0
050011757           ,6.0
050011762           ,1.0
050011776           ,15.0
050011777           ,28.0
050011778           ,1.0
050011780           ,16.0
050011781           ,4.0
050011783           ,1.0
050011784           ,15.0
050011793           ,1.0
050011798           ,6.0
050011799           ,2.0
050011801           ,3.0
050011802           ,2.0
050011810           ,1.0
050011811           ,4.0
050011812           ,1.0
050011817           ,28.0
050011818           ,3.0
050011847           ,12.0
050011848           ,1.0
050011849           ,2.0
050011850           ,1.0
050011851           ,1.0
050011852           ,2.0
050011853           ,28.0
050011854           ,28.0
050011855           ,19.0
050011856           ,1.0
050011857           ,1.0
050011858           ,1.0
050011878           ,30.0
050011880           ,21.0
050011881           ,1.0
050011888           ,1.0
050011890           ,1.0
050011902           ,21.0
050011903           ,1.0
050011906           ,1.0
050011907           ,1.0
050011909           ,49.0
050011911           ,2.0
050011919           ,3.0
050011920           ,1.0
050011921           ,1.0
050011923           ,1.0
050011924           ,1.0
050011926           ,1.0
050011930           ,2.0
050011932           ,18.0
050011934           ,2.0
050011944           ,2.0
050011957           ,1.0
050011963           ,1.0
050011964           ,1.0
050011967           ,1.0
050011972           ,6.0
050011980           ,1.0
050012022           ,1.0
050012045           ,49.0
050012071           ,49.0
050012073           ,6.0
050012074           ,1.0
050012078           ,7.0
050012079           ,2.0
050012080           ,3.0
050012082           ,5.0
050012096           ,5.0
050012098           ,10.0
050012099           ,1.0
